,mots,poids,serie
0,be,1502.560151074873,mastersofscifi
1,you,840.5878672198668,mastersofscifi
2,the,613.286660937882,mastersofscifi
3,to,568.1689362140276,mastersofscifi
4,we,505.83423875767414,mastersofscifi
5,not,496.06052834529294,mastersofscifi
6,it,410.8047088263162,mastersofscifi
7,do,388.0637326006441,mastersofscifi
8,that,361.9374127453998,mastersofscifi
9,of,304.1977900252636,mastersofscifi
10,have,303.74372453241915,mastersofscifi
11,what,303.6499269085157,mastersofscifi
12,and,293.75675912752797,mastersofscifi
13,this,216.91274898669027,mastersofscifi
14,they,213.58928795000946,mastersofscifi
15,he,195.64332906053224,mastersofscifi
16,jerry,164.50540144636466,mastersofscifi
17,in,160.85611785446775,mastersofscifi
18,go,143.27920508275227,mastersofscifi
19,your,141.83511612884908,mastersofscifi
20,all,139.13191156410508,mastersofscifi
21,no,135.22936390851868,mastersofscifi
22,get,128.57129152558397,mastersofscifi
23,there,124.91665694034589,mastersofscifi
24,if,122.21781133144898,mastersofscifi
25,for,121.98266332632186,mastersofscifi
26,know,121.41720620669982,mastersofscifi
27,want,118.19656713118465,mastersofscifi
28,think,117.19562316539074,mastersofscifi
29,bedzyk,113.96365365973716,mastersofscifi
30,would,113.52189951026031,mastersofscifi
31,sigret,110.81380941286494,mastersofscifi
32,like,109.2771018963544,mastersofscifi
33,my,107.46240888486946,mastersofscifi
34,well,106.2573650032876,mastersofscifi
35,can,105.6564235368184,mastersofscifi
36,will,103.54654551860567,mastersofscifi
37,with,101.33705712348207,mastersofscifi
38,on,99.0,mastersofscifi
39,just,97.94601510095302,mastersofscifi
40,havelmann,97.68313170834614,mastersofscifi
41,here,97.37642452392478,mastersofscifi
42,so,93.30697143511235,mastersofscifi
43,our,91.69443992206013,mastersofscifi
44,how,87.47403993437786,mastersofscifi
45,say,87.11581981512386,mastersofscifi
46,but,81.64800345603318,mastersofscifi
47,ve,81.51153022168954,mastersofscifi
48,now,76.534574429808,mastersofscifi
49,make,73.57704849598987,mastersofscifi
50,take,73.25573586922808,mastersofscifi
51,from,72.8774259058833,mastersofscifi
52,right,70.29907060691276,mastersofscifi
53,one,68.0364139758235,mastersofscifi
54,could,67.4939129058125,mastersofscifi
55,come,66.15057895560635,mastersofscifi
56,sir,66.1414037793724,mastersofscifi
57,tell,64.64441499889824,mastersofscifi
58,at,64.46849214751215,mastersofscifi
59,up,63.259599229619035,mastersofscifi
60,oh,63.25149733998086,mastersofscifi
61,then,62.50433235487506,mastersofscifi
62,let,61.706699618905986,mastersofscifi
63,work,61.00793650553904,mastersofscifi
64,out,60.11776226726578,mastersofscifi
65,thing,59.865793741768854,mastersofscifi
66,good,58.755098516441954,mastersofscifi
67,why,57.558666663563976,mastersofscifi
68,see,56.04825286631454,mastersofscifi
69,yes,55.55817947656378,mastersofscifi
70,who,53.66032758422441,mastersofscifi
71,very,53.22233576205916,mastersofscifi
72,joe,53.06601164312253,mastersofscifi
73,about,52.435754528815885,mastersofscifi
74,or,48.15593206983371,mastersofscifi
75,as,48.0,mastersofscifi
76,give,47.08877644591569,mastersofscifi
77,more,45.444529351065846,mastersofscifi
78,need,45.315640957284415,mastersofscifi
79,people,44.8476467113128,mastersofscifi
80,an,44.0,mastersofscifi
81,mr,43.28794655976152,mastersofscifi
82,look,42.93393350771454,mastersofscifi
83,hear,41.74227234589514,mastersofscifi
84,candy,41.355497769647194,mastersofscifi
85,little,39.95934026535688,mastersofscifi
86,time,39.6806176797814,mastersofscifi
87,world,39.643387561649654,mastersofscifi
88,into,39.41732621884039,mastersofscifi
89,home,39.31551544568395,mastersofscifi
90,where,39.21250066023835,mastersofscifi
91,any,39.06271534034094,mastersofscifi
92,curran,38.005810615239646,mastersofscifi
93,riggum,37.98788455324572,mastersofscifi
94,skynner,37.98788455324572,mastersofscifi
95,cargrew,37.98788455324572,mastersofscifi
96,samswope,37.98788455324572,mastersofscifi
97,down,37.840201912670175,mastersofscifi
98,walk,37.16926072106902,mastersofscifi
99,deanna,37.14801899700072,mastersofscifi
100,martha,36.86643424015128,mastersofscifi
101,back,36.694481082638355,mastersofscifi
102,when,35.946415097484994,mastersofscifi
103,god,35.62054152435781,mastersofscifi
104,even,34.84383136349455,mastersofscifi
105,call,34.44896155795827,mastersofscifi
106,these,34.21513644354944,mastersofscifi
107,send,33.62531705346385,mastersofscifi
108,over,33.07100309563994,mastersofscifi
109,their,32.7020762182006,mastersofscifi
110,earth,32.7020762182006,mastersofscifi
111,ask,32.7020762182006,mastersofscifi
112,before,32.668432430671444,mastersofscifi
113,jinger,32.561043902782046,mastersofscifi
114,never,32.5231031309354,mastersofscifi
115,much,32.3787726658924,mastersofscifi
116,joes,32.32437031475027,mastersofscifi
117,she,32.044072212054154,mastersofscifi
118,really,31.963985079491586,mastersofscifi
119,than,31.819580120021843,mastersofscifi
120,ever,31.819580120021843,mastersofscifi
121,dachshund,31.122079782163638,mastersofscifi
122,some,31.112792791115666,mastersofscifi
123,his,30.83692634846895,mastersofscifi
124,year,30.64316301451891,mastersofscifi
125,please,30.092399813927113,mastersofscifi
126,something,29.689557868565654,mastersofscifi
127,same,29.297036505255704,mastersofscifi
128,two,29.257158122096342,mastersofscifi
129,day,29.071817545209747,mastersofscifi
130,pegasus,28.89290366433389,mastersofscifi
131,other,28.63762210801966,mastersofscifi
132,president,28.62561950079396,mastersofscifi
133,put,28.529875947424642,mastersofscifi
134,only,28.281506397644943,mastersofscifi
135,talk,28.158528622038205,mastersofscifi
136,most,27.925067281272025,mastersofscifi
137,believe,27.796764785470515,mastersofscifi
138,maybe,27.796764785470515,mastersofscifi
139,listen,27.54302873178702,mastersofscifi
140,off,27.3192754740886,mastersofscifi
141,mean,27.169387317567846,mastersofscifi
142,plasto,27.134203252318372,mastersofscifi
143,too,27.028303529139134,mastersofscifi
144,way,26.88725668359958,mastersofscifi
145,first,26.331442309886707,mastersofscifi
146,brownie,26.047636707075664,mastersofscifi
147,company,25.340968264359674,mastersofscifi
148,old,25.11997603575679,mastersofscifi
